game_date,team_id_home,team_id_away,model_prob_home,confidence_tier,summary_label,high_confidence,high_uncertainty,high_disagreement,upset_alert,ui_tier,ui_label,ui_color,display_priority
2022-10-18,1610612744.0,1610612747.0,0.6663382492094855,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-19,1610612763.0,1610612752.0,0.7115381165109267,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-21,1610612737.0,1610612753.0,0.7517242322180836,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-21,1610612752.0,1610612765.0,0.696395398999018,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-21,1610612744.0,1610612743.0,0.6596235596298458,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-22,1610612743.0,1610612760.0,0.7672143408068879,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-23,1610612744.0,1610612758.0,0.7563417203027479,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-23,1610612747.0,1610612757.0,0.6820775730239232,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-24,1610612752.0,1610612753.0,0.720770964908595,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-26,1610612739.0,1610612753.0,0.7410360374873265,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-26,1610612762.0,1610612745.0,0.7048432293160166,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-26,1610612743.0,1610612747.0,0.6736193347782554,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-28,1610612738.0,1610612739.0,0.7023581454914793,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-28,1610612750.0,1610612747.0,0.6767056369463171,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-28,1610612749.0,1610612752.0,0.6555963375198415,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-10-29,1610612742.0,1610612760.0,0.7796711045762446,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-30,1610612742.0,1610612753.0,0.7853062477628443,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-31,1610612749.0,1610612765.0,0.8240828023908391,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-10-31,1610612746.0,1610612745.0,0.7303186537962563,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-01,1610612756.0,1610612750.0,0.6689750943014175,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-02,1610612749.0,1610612765.0,0.7759066642650838,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-02,1610612742.0,1610612762.0,0.6854421743935439,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-04,1610612756.0,1610612757.0,0.7994023685972085,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-04,1610612742.0,1610612761.0,0.7075822121691127,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-04,1610612738.0,1610612741.0,0.6587400326154867,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-05,1610612756.0,1610612757.0,0.8026950393619874,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-05,1610612750.0,1610612745.0,0.7265871587490874,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-07,1610612748.0,1610612757.0,0.7231804107735783,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-07,1610612762.0,1610612747.0,0.7220712696261603,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-07,1610612742.0,1610612751.0,0.700037076157311,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-07,1610612744.0,1610612758.0,0.6711527622375602,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-09,1610612738.0,1610612765.0,0.8070611274799673,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-09,1610612761.0,1610612745.0,0.7229424235879863,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-12,1610612742.0,1610612757.0,0.7430209229502385,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-12,1610612748.0,1610612766.0,0.6645962102610962,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-14,1610612738.0,1610612760.0,0.769636096232261,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-15,1610612762.0,1610612752.0,0.7119445113775238,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-15,1610612742.0,1610612746.0,0.707185275807028,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-16,1610612742.0,1610612745.0,0.7380571425323867,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-18,1610612763.0,1610612760.0,0.7432503776790844,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-20,1610612756.0,1610612752.0,0.7208273243268851,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-21,1610612749.0,1610612757.0,0.7369801521790162,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-22,1610612743.0,1610612765.0,0.7721576436990262,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-22,1610612756.0,1610612747.0,0.7327204005234966,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-23,1610612762.0,1610612765.0,0.8013163372822089,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-23,1610612737.0,1610612758.0,0.7034711531499322,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-23,1610612739.0,1610612757.0,0.6856727213408697,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-23,1610612749.0,1610612741.0,0.6654375118872319,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-25,1610612738.0,1610612758.0,0.7364709623618617,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-26,1610612756.0,1610612762.0,0.6909687850621639,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-27,1610612749.0,1610612742.0,0.6559362764342511,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-11-28,1610612738.0,1610612766.0,0.7754814380414191,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-11-30,1610612756.0,1610612741.0,0.6522350531762219,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-02,1610612756.0,1610612745.0,0.7955026216005844,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-02,1610612738.0,1610612748.0,0.7292204213114046,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-02,1610612749.0,1610612747.0,0.6949272484252493,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-02,1610612744.0,1610612741.0,0.6737766409719136,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-02,1610612762.0,1610612754.0,0.6696461421294478,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-03,1610612761.0,1610612753.0,0.7655492007615827,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-03,1610612762.0,1610612757.0,0.7046229081788716,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-03,1610612750.0,1610612760.0,0.6573763520551354,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-05,1610612737.0,1610612760.0,0.6968141312025892,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-06,1610612739.0,1610612747.0,0.7394170854897836,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-07,1610612763.0,1610612760.0,0.7182790425640682,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-09,1610612755.0,1610612747.0,0.6698122467117908,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-10,1610612739.0,1610612760.0,0.7051879603287418,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-14,1610612742.0,1610612739.0,0.6635928448314903,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-16,1610612739.0,1610612754.0,0.7074440270314343,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-18,1610612738.0,1610612753.0,0.7911508646507468,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-18,1610612743.0,1610612766.0,0.7087523451106051,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-19,1610612758.0,1610612766.0,0.7429052106253492,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-19,1610612737.0,1610612753.0,0.6839201880170582,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-19,1610612755.0,1610612761.0,0.6667055994029878,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-21,1610612737.0,1610612741.0,0.6789568001245374,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-21,1610612758.0,1610612747.0,0.6593887933509163,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-23,1610612743.0,1610612757.0,0.693101791952589,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-23,1610612755.0,1610612746.0,0.6794847277623733,Moderate Favorite,Balanced matchup,False,False,False,False,1,Clear Favorite,dark_green,1
2022-12-26,1610612741.0,1610612745.0,0.7047871860865419,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-27,1610612744.0,1610612766.0,0.7545857860976354,Heavy Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
2022-12-28,1610612748.0,1610612747.0,0.7182366399255222,Moderate Favorite,Strong model confidence,True,False,False,False,1,Clear Favorite,dark_green,1
