game_date,season_id,elo_home,elo_away,elo_diff,elo_prob,pf_roll_home,pf_roll_away,pf_roll_diff,pa_roll_home,pa_roll_away,pa_roll_diff,win_roll_home,win_roll_away,win_roll_diff,margin_roll_home,margin_roll_away,margin_roll_diff,games_in_window_home,games_in_window_away,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_diff,market_prob_home,market_prob_away,home_players_out,away_players_out,home_players_questionable,away_players_questionable,home_injury_severity,away_injury_severity,home_win
2021-05-05,22021,1500.0,1500.0,0.0,0.5993967967092568,,,,,,,,,,,,,0.0,0.0,7.0,7.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-08,22021,1500.0,1500.0,0.0,0.5993967967092568,,,,,,,,,,,,,0.0,0.0,7.0,7.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-08,22021,1500.0,1488.012064065815,11.987935934185089,0.6158476748170624,,80.0,,,87.0,,,0.0,,,-7.0,,0.0,1.0,7.0,3.0,0,0,4.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-08,22021,1500.0,1500.0,0.0,0.5993967967092568,,,,,,,,,,,,,0.0,0.0,7.0,7.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-08,22021,1500.0,1500.0,0.0,0.5993967967092568,,,,,,,,,,,,,0.0,0.0,7.0,7.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-09,22021,1500.0,1500.0,0.0,0.5993967967092568,,,,,,,,,,,,,0.0,0.0,7.0,7.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-11,22021,1491.987935934185,1508.012064065815,-16.024128131629823,0.5770585777637436,65.0,82.0,-17.0,82.0,65.0,17.0,0.0,1.0,-1.0,-17.0,17.0,-34.0,1.0,1.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-14,22021,1488.012064065815,1488.012064065815,0.0,0.5993967967092568,85.0,76.0,9.0,85.0,89.0,-4.0,0.0,0.0,0.0,0.0,-13.0,13.0,1.0,1.0,6.0,6.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-14,22021,1507.6830465036587,1488.012064065815,19.670982437843804,0.626255884482681,79.0,71.0,8.0,68.0,88.0,-20.0,1.0,0.0,1.0,11.0,-17.0,28.0,1.0,1.0,6.0,6.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-14,22021,1511.987935934185,1511.987935934185,0.0,0.5993967967092568,87.0,89.0,-2.0,80.0,76.0,4.0,1.0,1.0,0.0,7.0,13.0,-6.0,1.0,1.0,9.0,6.0,0,0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-14,22021,1500.0,1499.5532356210897,0.4467643789103022,0.6000141756754326,,76.0,,,74.0,,,0.5,,,2.0,,0.0,2.0,7.0,3.0,0,0,4.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-15,22021,1480.3290175621562,1500.4467643789103,-20.117746816754106,0.5712971196189727,74.0,74.0,0.0,83.0,76.0,7.0,0.0,0.5,-0.5,-9.0,-2.0,-7.0,2.0,2.0,7.0,4.0,0,0,3.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-15,22021,1511.987935934185,1511.987935934185,0.0,0.5993967967092568,88.0,85.0,3.0,71.0,85.0,-14.0,1.0,1.0,0.0,17.0,0.0,17.0,1.0,1.0,7.0,7.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-16,22021,1491.5535191345984,1507.9997164864913,-16.446197351892806,0.5764654877577922,79.66666666666667,90.0,-10.333333333333329,79.33333333333333,87.0,-7.666666666666671,0.3333333333333333,1.0,-0.6666666666666667,0.3333333333333428,3.0,-2.666666666666657,3.0,1.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-16,22021,1523.9758718683702,1500.5371817554685,23.438690112901668,0.6313182615512098,83.5,74.0,9.5,71.5,81.5,-10.0,1.0,0.5,0.5,12.0,-7.5,19.5,2.0,2.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-18,22021,1519.529026241647,1495.1579288140051,24.37109742764187,0.6325666631280444,81.5,77.0,4.5,76.0,72.5,3.5,1.0,0.5,0.5,5.5,4.5,1.0,2.0,2.0,2.0,4.0,0,0,-2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-18,22021,1468.903075169777,1493.1635469864927,-24.260471816715835,0.5654468125543418,68.0,75.33333333333333,-7.333333333333329,78.66666666666667,83.0,-4.333333333333329,0.0,0.3333333333333333,-0.3333333333333333,-10.666666666666671,-7.666666666666671,-3.0,3.0,3.0,3.0,2.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-18,22021,1520.0,1503.9758718683702,16.024128131629823,0.6213294022309049,92.5,84.0,8.5,77.0,91.0,-14.0,1.0,0.5,0.5,15.5,-7.0,22.5,2.0,2.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-19,22021,1531.349506637346,1480.0242093794427,51.32529725790323,0.6678339459773763,84.33333333333333,76.0,8.333333333333329,73.66666666666667,77.75,-4.083333333333329,1.0,0.25,0.75,10.666666666666657,-1.75,12.416666666666657,3.0,4.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-19,22021,1500.0,1511.8727067712898,-11.872706771289813,0.5828800520631376,77.0,72.66666666666667,4.333333333333329,79.0,69.33333333333333,9.666666666666671,0.5,0.6666666666666666,-0.16666666666666663,-2.0,3.333333333333343,-5.333333333333343,2.0,3.0,5.0,4.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-20,22021,1487.809262076566,1507.573411955382,-19.764149878815942,0.571795567159353,76.33333333333333,88.33333333333333,-12.0,77.0,83.33333333333333,-6.333333333333329,0.3333333333333333,0.6666666666666666,-0.3333333333333333,-0.6666666666666714,5.0,-5.666666666666671,3.0,3.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-21,22021,1473.3808882989902,1488.3423989587372,-14.961510659747091,0.5785507768078667,74.2,77.0,-2.799999999999997,79.8,81.0,-1.2000000000000028,0.2,0.3333333333333333,-0.1333333333333333,-5.599999999999994,-4.0,-1.5999999999999943,5.0,3.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-21,22021,1457.59413891869,1526.877692979086,-69.283554060396,0.5010310471263713,68.5,83.0,-14.5,81.75,75.66666666666667,6.083333333333329,0.0,1.0,-1.0,-13.25,7.333333333333329,-20.58333333333333,4.0,3.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-21,22021,1504.4724832375796,1537.9928277177985,-33.52034448021891,0.5523063709727114,79.25,85.25,-6.0,79.75,72.0,7.75,0.5,1.0,-0.5,-0.5,13.25,-13.75,4.0,4.0,3.0,2.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-21,22021,1516.4024599129882,1476.0241281316298,40.37833178135838,0.6537103394758869,88.0,78.0,10.0,87.33333333333333,89.5,-2.1666666666666714,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666714,-11.5,12.166666666666671,3.0,2.0,3.0,7.0,0,0,-4.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-22,22021,1500.0,1519.0093232985691,-19.009323298569143,0.5728591190411104,85.0,88.75,-3.75,80.0,82.0,-2.0,0.5,0.75,-0.25,5.0,6.75,-1.75,2.0,4.0,8.0,2.0,0,0,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-23,22021,1523.3282531234704,1549.0389551372527,-25.71070201378234,0.5633944118031896,90.25,85.0,5.25,82.75,71.0,11.75,0.75,1.0,-0.25,7.5,14.0,-6.5,4.0,5.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-23,22021,1461.8098727628328,1467.5735179761623,-5.763645213329482,0.5914044118126643,75.0,75.0,0.0,80.33333333333333,79.8,0.5333333333333314,0.16666666666666666,0.2,-0.033333333333333354,-5.333333333333329,-4.799999999999997,-0.5333333333333314,6.0,5.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-23,22021,1523.5303078125526,1516.8983139216134,6.631993890939157,0.6085280676233538,75.75,80.25,-4.5,71.25,82.0,-10.75,0.75,0.75,0.0,4.5,-1.75,6.25,4.0,4.0,4.0,2.0,0,0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-24,22021,1529.0688752740805,1488.542817619178,40.52605765490239,0.6539028171459496,82.8,89.0,-6.200000000000003,82.6,86.66666666666667,-4.066666666666677,0.8,0.3333333333333333,0.46666666666666673,0.20000000000000284,2.3333333333333286,-2.1333333333333258,5.0,3.0,1.0,2.0,1,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-25,22021,1469.9817845265795,1459.4016062124158,10.580178314163732,0.6139287149914724,77.0,75.33333333333333,1.6666666666666714,79.85714285714286,81.33333333333333,-1.4761904761904674,0.2857142857142857,0.16666666666666666,0.11904761904761904,-2.857142857142861,-6.0,3.142857142857139,7.0,6.0,2.0,2.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-25,22021,1511.3597464600855,1499.9134144948946,11.446331965190893,0.61510982012513,77.6,78.5,-0.9000000000000057,75.6,80.5,-4.900000000000006,0.6,0.5,0.09999999999999998,2.0,-2.0,4.0,5.0,4.0,2.0,4.0,0,0,-2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-25,22021,1530.4665056793913,1560.3068433733165,-29.84033769392522,0.5575383754666235,91.0,82.83333333333333,8.166666666666671,85.0,70.0,15.0,0.8,1.0,-0.19999999999999996,6.0,12.833333333333329,-6.833333333333329,5.0,6.0,3.0,2.0,0,0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-26,22021,1493.426355818125,1512.0603648874066,-18.634009069281547,0.573387687411276,76.8,85.2,-8.400000000000006,80.6,80.6,0.0,0.4,0.6,-0.19999999999999996,-3.799999999999997,4.6000000000000085,-8.400000000000006,5.0,5.0,5.0,3.0,0,0,2.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-27,22021,1512.2156108973973,1481.6208739620968,30.59473693530049,0.6408533517390954,80.8,87.0,-6.200000000000003,81.0,87.0,-6.0,0.6,0.25,0.35,-0.20000000000000284,0.0,-0.20000000000000284,5.0,4.0,2.0,3.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-28,22021,1499.0575500575828,1469.0983349211476,29.959215136435205,0.640010909781885,78.5,75.0,3.5,78.0,92.0,-14.0,0.5,0.0,0.5,0.5,-17.0,17.5,6.0,3.0,3.0,7.0,0,0,-4.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0
2021-05-28,22021,1539.3157381700587,1476.3733507333789,62.94238743667984,0.682498524339835,90.83333333333333,76.75,14.083333333333329,85.33333333333333,80.25,5.083333333333329,0.8333333333333334,0.25,0.5833333333333334,5.5,-3.5,9.0,6.0,4.0,3.0,8.0,0,0,-5.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-28,22021,1551.457610882649,1471.6801805122452,79.77743037040386,0.7031176283881814,83.42857142857143,76.71428571428571,6.714285714285722,72.85714285714286,79.57142857142857,-6.714285714285708,0.8571428571428571,0.2857142857142857,0.5714285714285714,10.57142857142857,-2.857142857142861,13.42857142857143,7.0,7.0,3.0,3.0,0,0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
2021-05-28,22021,1523.5281186356322,1457.70321022675,65.82490840888227,0.6860832221561788,85.16666666666667,76.0,9.166666666666671,80.33333333333333,80.5,-0.1666666666666714,0.6666666666666666,0.25,0.41666666666666663,4.833333333333343,-4.5,9.333333333333343,6.0,8.0,2.0,3.0,0,0,-1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1
