team_id,full_name,abbreviation,nickname,city
20,Atlanta Dream,ATL,Atlanta,Atlanta
19,Chicago Sky,CHI,Chicago,Chicago
18,Connecticut Sun,CON,Connecticut,Connecticut
3,Dallas Wings,DAL,Dallas,Dallas
129689,Golden State Valkyries,GS,Golden State,Golden State
5,Indiana Fever,IND,Indiana,Indiana
17,Las Vegas Aces,LV,Las Vegas,Las Vegas
6,Los Angeles Sparks,LA,Los Angeles,Los Angeles
8,Minnesota Lynx,MIN,Minnesota,Minnesota
9,New York Liberty,NY,New York,New York
11,Phoenix Mercury,PHX,Phoenix,Phoenix
132052,Portland Fire,POR,Portland,Portland
14,Seattle Storm,SEA,Seattle,Seattle
131935,Toronto Tempo,TOR,Toronto,Toronto
16,Washington Mystics,WSH,Washington,Washington
9999,Golden State Valkyries,GSV,Valkyries,Golden State
